Temperatura,Cv,Chi,Magnetizacion,Energia
1.706500000000000128e+00,3.390011039124180559e-01,6.870338402798172039e-02,9.695355468749999872e-01,-1.896351562500000032e+00
1.743989227233553763e+00,3.697276319018437118e-01,7.880331217297888158e-02,9.650890625000000389e-01,-1.882521874999999900e+00
1.780185722493536460e+00,4.152807067189757118e-01,9.907015606029784260e-02,9.597675781250000204e-01,-1.867192187499999934e+00
1.815089485779948442e+00,4.505661519296362272e-01,1.393754457153079385e-01,9.550777343749999870e-01,-1.854794531250000045e+00
1.848700517092789486e+00,5.057543306513775372e-01,1.516572975356227648e-01,9.478039062499999945e-01,-1.834934375000000006e+00
1.881018816432059815e+00,5.485935520345170957e-01,2.047927413776247652e-01,9.421015624999999893e-01,-1.819736718749999982e+00
1.912044383797759428e+00,6.085477711874177631e-01,2.409546939804349808e-01,9.343882812499999524e-01,-1.800952343749999907e+00
1.941777219189888104e+00,6.335773020702558656e-01,2.579438915803969889e-01,9.274828124999999757e-01,-1.783054687499999957e+00
1.970217322608446064e+00,6.323912480211638654e-01,2.928103439427796606e-01,9.193820312499999536e-01,-1.763274999999999926e+00
1.997364694053433087e+00,6.999214981697556848e-01,3.478366918011722708e-01,9.114109375000000179e-01,-1.746438281249999891e+00
2.023219333524849173e+00,7.547356668731366458e-01,4.671260916083803116e-01,9.036391796874999605e-01,-1.729173984375000028e+00
2.047781241022694765e+00,8.492177612008841026e-01,6.009080927654198989e-01,8.931794531250000224e-01,-1.708095156249999969e+00
2.071050416546969419e+00,9.017978936161568093e-01,8.637096665545699326e-01,8.809302343749999542e-01,-1.686648593749999980e+00
2.093026860097673136e+00,9.232653857842015865e-01,8.300156185548579479e-01,8.733460546875000396e-01,-1.669602265625000026e+00
2.113710571674806360e+00,1.019307189716268214e+00,9.922513380162326646e-01,8.616006640625000212e-01,-1.648382343750000034e+00
2.133101551278368646e+00,1.115832254115379785e+00,1.629868015023216543e+00,8.452423437499999581e-01,-1.627278984374999959e+00
2.151199798908359995e+00,1.168533271178010313e+00,1.778830107129891758e+00,8.340859375000000409e-01,-1.607817499999999900e+00
2.168005314564780406e+00,1.223426183386966182e+00,2.043507022206397128e+00,8.208835156249999487e-01,-1.587405546874999906e+00
2.183518098247630324e+00,1.378559783069080114e+00,4.845611960259081030e+00,7.971480078124999480e-01,-1.565540078124999956e+00
2.197738149956909304e+00,1.431624875321960255e+00,4.451522584565385188e+00,7.816360156249999580e-01,-1.545776484374999926e+00
2.210665469692617346e+00,1.519489442107660793e+00,5.602427510338332972e+00,7.652738671875000120e-01,-1.528041640624999919e+00
2.222300057454754452e+00,1.384635821495195263e+00,3.186037091361547446e+00,7.710633203125000223e-01,-1.521322031249999984e+00
2.232641913243321063e+00,1.651046639368724867e+00,8.535160271292033585e+00,7.313441796874999845e-01,-1.495969843749999972e+00
2.241691037058316738e+00,1.692225818009558180e+00,8.516230627237714401e+00,7.211865625000000168e-01,-1.483162031250000013e+00
2.249447428899741475e+00,1.782300875892055769e+00,1.260676864456199375e+01,6.892139843750000328e-01,-1.465255624999999950e+00
2.255911088767595718e+00,1.771337178525740574e+00,9.967950861777225668e+00,6.941343359374999578e-01,-1.460155468750000018e+00
2.261082016661879024e+00,1.794843960921259640e+00,1.088111664039545268e+01,6.850158984374999926e-01,-1.450709218749999918e+00
2.264960212582591392e+00,1.828231706383387944e+00,1.472492914844960410e+01,6.551966796874999499e-01,-1.440321406250000047e+00
2.267545676529732823e+00,1.889128229172298834e+00,1.530464195438386987e+01,6.522671484374999995e-01,-1.435223437499999921e+00
2.268838408503303761e+00,1.719926063416367112e+00,1.032123010323099876e+01,6.773923828125000268e-01,-1.440899062499999994e+00
2.269161591496696495e+00,1.846947774637029305e+00,1.386194402417040727e+01,6.521117187499999579e-01,-1.432401171875000045e+00
2.270454323470267433e+00,1.836241751209122919e+00,1.333018281245770353e+01,6.634278906249999608e-01,-1.436103828125000037e+00
2.273039787417408863e+00,1.917041392042438730e+00,1.662644391071140149e+01,6.316948828124999693e-01,-1.423388749999999980e+00
2.276917983338121232e+00,1.830879017109237505e+00,1.214851758599776410e+01,6.496232421875000052e-01,-1.422430000000000083e+00
2.282088911232404538e+00,1.977834744437994008e+00,1.941724318081845979e+01,6.049302734375000545e-01,-1.407213124999999954e+00
2.288552571100258781e+00,1.861604171547750264e+00,1.512934015568507817e+01,6.209957031249999648e-01,-1.403463515624999935e+00
2.296308962941683518e+00,1.892571771786353718e+00,1.640230141668001451e+01,5.875335156250000024e-01,-1.383468906250000074e+00
2.305358086756679192e+00,1.733702463271844074e+00,1.514164336330236971e+01,5.806085937499999572e-01,-1.373537421875000053e+00
